model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,pep,19,15-19,Conus,False,1
baseline_esm2,2,propep,28,25-29,Conus,False,1
baseline_esm2,2,pep,46,45-50,Conus,False,0
baseline_esm2,2,propep,9,5-9,Conus,False,0
baseline_esm2,2,pep,34,30-34,Conus,False,0
baseline_esm2,2,propep,5,5-9,Conus,False,1
baseline_esm2,2,pep,27,25-29,Conus,False,0
baseline_esm2,2,propep,11,10-14,Conus,False,0
baseline_esm2,2,pep,31,30-34,Conus,False,1
baseline_esm2,2,propep,10,10-14,Conus,False,0
baseline_esm2,2,pep,31,30-34,Conus,False,1
baseline_esm2,2,propep,11,10-14,Conus,False,1
baseline_esm2,2,pep,32,30-34,Conus,False,0
baseline_esm2,2,propep,13,10-14,Conus,False,0
baseline_esm2,2,pep,33,30-34,Conus,False,0
baseline_esm2,2,propep,13,10-14,Conus,False,0
baseline_esm2,2,pep,44,40-44,Conus,False,0
baseline_esm2,2,propep,14,10-14,Conus,False,0
baseline_esm2,2,propep,23,20-24,Saccharomyces,False,1
baseline_esm2,2,propep,50,45-50,Acidimicrobium,False,1
baseline_esm2,2,propep,50,45-50,Jonesia,False,1
baseline_esm2,2,propep,12,10-14,Crotalus,False,0
baseline_esm2,2,propep,20,20-24,Agkistrodon,False,0
baseline_esm2,2,propep,50,45-50,Sanguibacter,False,1
baseline_esm2,2,pep,38,35-39,Conus,False,0
baseline_esm2,2,propep,23,20-24,Conus,False,1
baseline_esm2,2,pep,41,40-44,Conus,False,0
baseline_esm2,2,propep,23,20-24,Conus,False,1
baseline_esm2,2,pep,39,35-39,Conus,False,1
baseline_esm2,2,propep,23,20-24,Conus,False,1
baseline_esm2,2,pep,34,30-34,Cyriopagopus,False,1
baseline_esm2,2,propep,24,20-24,Cyriopagopus,False,1
baseline_esm2,2,pep,34,30-34,Cyriopagopus,False,1
baseline_esm2,2,propep,24,20-24,Cyriopagopus,False,1
baseline_esm2,2,pep,34,30-34,Cyriopagopus,False,1
baseline_esm2,2,propep,24,20-24,Cyriopagopus,False,1
baseline_esm2,2,pep,34,30-34,Cyriopagopus,False,1
baseline_esm2,2,propep,24,20-24,Cyriopagopus,False,1
baseline_esm2,2,pep,27,25-29,Californiconus,True,1
baseline_esm2,2,pep,27,25-29,Californiconus,True,1
baseline_esm2,2,pep,27,25-29,Californiconus,True,1
baseline_esm2,2,pep,28,25-29,Californiconus,True,1
baseline_esm2,2,pep,47,45-50,Californiconus,True,1
baseline_esm2,2,pep,47,45-50,Californiconus,True,1
baseline_esm2,2,pep,47,45-50,Californiconus,True,1
baseline_esm2,2,pep,45,45-50,Californiconus,True,0
baseline_esm2,2,propep,33,30-34,Arthroderma,False,1
baseline_esm2,2,pep,16,15-19,Conus,False,1
baseline_esm2,2,propep,24,20-24,Conus,False,1
baseline_esm2,2,pep,14,10-14,Conus,True,0
baseline_esm2,2,pep,35,35-39,Gemmula,False,0
baseline_esm2,2,propep,14,10-14,Gemmula,False,0
baseline_esm2,2,pep,11,10-14,Hyalomma,True,0
baseline_esm2,2,pep,11,10-14,Hyalomma,True,0
baseline_esm2,2,pep,11,10-14,Hyalomma,True,0
baseline_esm2,2,propep,26,25-29,Hyalomma,True,0
baseline_esm2,2,propep,31,30-34,Hyalomma,True,0
baseline_esm2,2,pep,11,10-14,Californiconus,False,0
baseline_esm2,2,propep,29,25-29,Californiconus,False,0
baseline_esm2,2,pep,21,20-24,Californiconus,True,0
baseline_esm2,2,propep,16,15-19,Californiconus,True,0
baseline_esm2,2,pep,23,20-24,Californiconus,False,1
baseline_esm2,2,propep,25,25-29,Californiconus,False,1
baseline_esm2,2,propep,5,5-9,Californiconus,False,1
baseline_esm2,2,pep,38,35-39,Californiconus,False,0
baseline_esm2,2,propep,18,15-19,Californiconus,False,1
baseline_esm2,2,pep,22,20-24,Conus,True,1
baseline_esm2,2,propep,19,15-19,Conus,True,1
baseline_esm2,2,pep,22,20-24,Conus,False,1
baseline_esm2,2,propep,19,15-19,Conus,False,1
baseline_esm2,2,propep,8,5-9,Lychas,False,0
baseline_esm2,2,pep,14,10-14,Camponotus,False,0
baseline_esm2,2,pep,11,10-14,Camponotus,False,1
baseline_esm2,2,pep,14,10-14,Camponotus,False,1
baseline_esm2,2,pep,9,5-9,Camponotus,False,1
baseline_esm2,2,propep,6,5-9,Camponotus,False,0
baseline_esm2,2,pep,12,10-14,Camponotus,False,0
baseline_esm2,2,pep,8,5-9,Camponotus,False,1
