run_name,status,device,error,test:precision peptides,test:recall peptides,test:f1 peptides,test:precision propeptides,test:recall propeptides,test:f1 propeptides,test:precision all,test:recall all,test:f1 all,test:residue mcc peptides,test:residue positives peptides,test:residue total peptides,test:residue roc_auc peptides,test:residue mcc propeptides,test:residue positives propeptides,test:residue total propeptides,test:residue roc_auc propeptides,test:residue mcc all,test:residue positives all,test:residue total all,test:residue roc_auc all,test:loss,homo_test:precision peptides,homo_test:recall peptides,homo_test:f1 peptides,homo_test:precision propeptides,homo_test:recall propeptides,homo_test:f1 propeptides,homo_test:precision all,homo_test:recall all,homo_test:f1 all,homo_test:residue mcc peptides,homo_test:residue positives peptides,homo_test:residue total peptides,homo_test:residue roc_auc peptides,homo_test:residue mcc propeptides,homo_test:residue positives propeptides,homo_test:residue total propeptides,homo_test:residue roc_auc propeptides,homo_test:residue mcc all,homo_test:residue positives all,homo_test:residue total all,homo_test:residue roc_auc all,homo_test:loss
scaling_trainfrac70,ok,cuda:0,,0.5402621722846442,0.5026132404181185,0.5207581227436824,0.5789068514241724,0.5429602888086643,0.5603576751117734,0.5614702154626109,0.5246742992499013,0.5424489795918367,0.6387779485217618,27346,309829,0.9577929883414709,0.6885138436083714,30387,309829,0.9546231212706816,0.7052513520810026,57733,309829,0.9503722645471179,17.726107120513916,0.3125,0.3125,0.3125,0.4230769230769231,0.41509433962264153,0.4190476190476191,0.38095238095238093,0.3764705882352941,0.378698224852071,0.5105072188891557,778,22018,0.9421708204435536,0.6663830455309971,1316,22018,0.945995629396041,0.6296886049416124,2094,22018,0.9400478743772659,18.627833366394043
scaling_trainfrac80,ok,cuda:0,,0.5873563218390805,0.4435763888888889,0.5054401582591495,0.5584,0.503971119133574,0.5297912713472486,0.5702830188679245,0.47654710287741425,0.5192183809319304,0.6093406230372406,27346,309829,0.9464549517679878,0.693866510794396,30387,309829,0.9561414621620125,0.687998633094342,57733,309829,0.9449441127991937,16.0639029443264,0.4375,0.21212121212121213,0.2857142857142857,0.38,0.3584905660377358,0.3689320388349514,0.3939393939393939,0.3023255813953488,0.34210526315789475,0.5608985439137616,778,22018,0.9501417270610334,0.7050904858121749,1316,22018,0.96580020387734,0.7029327117895969,2094,22018,0.961022348151246,13.22606372833252
scaling_trainfrac90,ok,cuda:0,,0.6242424242424243,0.5387968613775065,0.5783809078146934,0.5866236905721193,0.5256317689530686,0.5544554455445545,0.6033168982519049,0.5315955766192733,0.5651900062985512,0.683681800641973,27346,309829,0.9518936764770707,0.7096816098552693,30387,309829,0.9593134638508629,0.7235536105309238,57733,309829,0.9505283093240193,16.354492127895355,0.375,0.28125,0.32142857142857145,0.5434782608695652,0.4716981132075472,0.5050505050505051,0.4857142857142857,0.4,0.43870967741935485,0.5632510926971128,778,22018,0.9458767833887656,0.7232874477586941,1316,22018,0.9600589410476471,0.6857992331699797,2094,22018,0.9492054525439267,14.683151721954346
train_run_3di_only,ok,cuda:0,,0.17304189435336975,0.08161512027491409,0.11091652072387626,0,0.0,0,0.17304189435336975,0.03725490196078431,0.061310100032268465,0.3724903249906911,27346,309829,0.9033066235426535,,30387,309829,0.9116086816471258,0.34555577383141783,57733,309829,0.9052448744120027,20.56164526939392,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.19141944980082734,778,22018,0.8824825171016515,,1316,22018,0.9060562038409281,0.19392449316968433,2094,22018,0.8954374521941736,21.373430252075195
train_run_aft,ok,cuda:0,,0.4643765903307888,0.323868677905945,0.3815995818086775,0.6108452950558214,0.2779390420899855,0.3820448877805486,0.5293701344656758,0.29860279441117765,0.38182746299132214,0.4975414336377148,26742,316314,0.946603820797561,0.5220039528018187,30239,316314,0.9519587466539292,0.5495586218178369,56981,316314,0.9455721526227145,10.37938525599818,0.16666666666666666,0.0625,0.09090909090909091,0.56,0.25,0.34567901234567905,0.43243243243243246,0.18181818181818182,0.256,0.31198823999681274,726,26008,0.9290773082385513,0.5529086813206906,1412,26008,0.9708644528440793,0.4908142049570561,2138,26008,0.9520086781259418,9.896435260772705
train_run_aft_no_lddt,ok,cuda:0,,0.363780778395552,0.4089285714285714,0.3850357292980243,0.616,0.3352685050798258,0.4342105263157895,0.4579392732702837,0.36829463570856685,0.4082538273796317,0.5440478501861584,26742,316314,0.9435251345727195,0.5280591145535753,30239,316314,0.9301325955243386,0.615472486973409,56981,316314,0.943003920663908,10.310025384349208,0.1794871794871795,0.21875,0.19718309859154928,0.3235294117647059,0.19642857142857142,0.2444444444444444,0.2465753424657534,0.20454545454545456,0.22360248447204967,0.42196418040952643,726,26008,0.9225807818931926,0.5305040156365898,1412,26008,0.9553345375719214,0.5212953659689092,2138,26008,0.9467428419373258,10.660335540771484
train_run_aft_plddt70,ok,cuda:0,,0.065,0.07428571428571429,0.06933333333333333,0.5310492505353319,0.3171355498721228,0.3971176941553243,0.3160322952710496,0.2420494699646643,0.2741370685342671,0.4831639288536264,9045,222308,0.9515621680901033,0.5173321466972908,15076,222308,0.9445538283339603,0.5787944907755944,24121,222308,0.9496741020030546,12.415716099739075,0,0.0,0,0.5357142857142857,0.375,0.44117647058823534,0.5357142857142857,0.3191489361702128,0.4,,70,19404,0.8571886683710415,0.6998278519850298,989,19404,0.9702575191071375,0.6822813935574473,1059,19404,0.9727721040769575,9.20195484161377
train_run_aft_single,ok,cuda:0,,0.5228215767634855,0.2226148409893993,0.31226765799256506,0.605072463768116,0.24238026124818576,0.34611398963730566,0.5667311411992263,0.23346613545816733,0.3306997742663657,0.46770622719466354,26742,316314,0.9341691621138168,0.525353753275052,30239,316314,0.94512172568448,0.5311772753871176,56981,316314,0.9391820214375965,10.711708068847656,0.16666666666666666,0.029411764705882353,0.05,0.47619047619047616,0.17857142857142858,0.2597402597402597,0.4074074074074074,0.12222222222222222,0.18803418803418803,0.2545962923996917,726,26008,0.9406556303845787,0.5277202205735633,1412,26008,0.9688264046711572,0.4755559507732103,2138,26008,0.9470350193576604,9.753024578094482
train_run_esm2,ok,cuda:0,,0.6486486486486487,0.5654450261780105,0.6041958041958043,0.6334630350194552,0.5877256317689531,0.6097378277153559,0.6401050788091068,0.5776372975108652,0.6072689511941849,0.6943160281960294,27346,309829,0.9689565605963051,0.7446662456802428,30387,309829,0.963108578921947,0.7503412795806579,57733,309829,0.9633177261251709,12.313548415899277,0.37037037037037035,0.3125,0.3389830508474576,0.5510204081632653,0.5094339622641509,0.5294117647058822,0.4868421052631579,0.43529411764705883,0.45962732919254656,0.5524515751846932,778,22018,0.9462625690480686,0.7437080042400933,1316,22018,0.9600990785730878,0.6928764837800778,2094,22018,0.9472431126532974,12.512550354003906
train_run_esm2+3di_proj,ok,cuda:0,,0.6033519553072626,0.5649520488230165,0.5835209365150833,0.6632478632478632,0.5602888086642599,0.6074363992172211,0.6345811051693404,0.5624012638230648,0.5963149078726967,0.6980290453259401,27346,309829,0.9336100008458519,0.7111051299179377,30387,309829,0.9200062941675675,0.7448249567076788,57733,309829,0.9187074466053617,15.785496160387993,0.30303030303030304,0.3125,0.3076923076923077,0.6410256410256411,0.4716981132075472,0.5434782608695652,0.4861111111111111,0.4117647058823529,0.445859872611465,0.5188648792181909,778,22018,0.897443496773319,0.6457087172615039,1316,22018,0.8760751424395804,0.6281239634967162,2094,22018,0.9163615434927798,15.572855472564697
