run,f1_all,precision_all,recall_all,mcc_all,auc_all,f1_peptides,precision_peptides,recall_peptides,mcc_peptides,auc_peptides,f1_propeptides,precision_propeptides,recall_propeptides,mcc_propeptides,auc_propeptides,test_drift,test_mcc_auc_trusted,homo_f1_all,homo_precision_all,homo_recall_all,homo_mcc_all,homo_auc_all,homo_f1_peptides,homo_precision_peptides,homo_recall_peptides,homo_mcc_peptides,homo_auc_peptides,homo_f1_propeptides,homo_precision_propeptides,homo_recall_propeptides,homo_mcc_propeptides,homo_auc_propeptides,homo_drift,homo_mcc_auc_trusted
train_run_esm2+3di_proj,0.596315,0.634581,0.562401,0.744825,0.554104,0.583521,0.603352,0.564952,0.698029,0.759728,0.607436,0.663248,0.560289,0.711105,0.308737,0.000000,True,0.445860,0.486111,0.411765,0.628124,0.518576,0.307692,0.303030,0.312500,0.518865,0.772472,0.543478,0.641026,0.471698,0.645709,0.341376,0.000000,True
train_run_esm2+3di_proj_gated,0.544843,0.697231,0.447119,0.659232,0.395216,0.530109,0.611617,0.467770,0.603756,0.564538,0.558837,0.797858,0.430014,0.682198,0.228360,0.000000,True,0.507692,0.717391,0.392857,0.610707,0.330650,0.320000,0.421053,0.258065,0.468234,0.506172,0.625000,0.925926,0.471698,0.657735,0.220389,0.000000,True
train_run_esm2+3di_proj_gated_conv,0.611427,0.657895,0.571091,0.731106,0.475560,0.602934,0.664234,0.551993,0.682221,0.684402,0.618251,0.653012,0.587004,0.708054,0.234586,0.000000,True,0.483221,0.571429,0.418605,0.724191,0.430598,0.285714,0.347826,0.242424,0.610248,0.714304,0.602151,0.700000,0.528302,0.719877,0.241427,0.000000,True
train_run_esm2_100,0.588107,0.657574,0.531915,0.729445,0.763516,0.577800,0.673988,0.505637,0.665080,0.842602,0.596191,0.645623,0.553791,0.738276,0.606958,0.000000,True,0.489796,0.590164,0.418605,0.715823,0.654406,0.301887,0.400000,0.242424,0.596751,0.865252,0.595745,0.682927,0.528302,0.728835,0.498791,0.000000,True
train_run_esm2_25,0.410684,0.435398,0.388626,N/A,N/A,0.360656,0.342679,0.380623,N/A,N/A,0.462585,0.557377,0.395349,N/A,N/A,0.042332,False,0.410684,0.435398,0.388626,N/A,N/A,0.360656,0.342679,0.380623,N/A,N/A,0.462585,0.557377,0.395349,N/A,N/A,0.186429,False
train_run_esm2_50,0.491272,0.505128,0.478155,0.704602,0.823248,0.427940,0.413675,0.443223,0.651837,0.859064,0.547451,0.596581,0.505797,0.690551,0.714442,0.000000,True,0.491272,0.505128,0.478155,N/A,N/A,0.427940,0.413675,0.443223,N/A,N/A,0.547451,0.596581,0.505797,N/A,N/A,0.155611,False
train_run_esm2_75,0.558734,0.587960,0.532275,0.739530,0.796702,0.598870,0.635153,0.566508,0.719354,0.881035,0.526892,0.551042,0.504771,0.690263,0.635254,0.000000,True,0.558734,0.587960,0.532275,N/A,N/A,0.598870,0.635153,0.566508,N/A,N/A,0.526892,0.551042,0.504771,N/A,N/A,0.266732,False
train_run_esm2_adamw,0.560321,0.602180,0.523904,0.728608,0.811823,0.541272,0.560224,0.523560,0.687279,0.883035,0.577107,0.641910,0.524188,0.702653,0.661934,0.000000,True,0.433121,0.472222,0.400000,0.691422,0.685916,0.317460,0.322581,0.312500,0.528196,0.893253,0.510638,0.585366,0.452830,0.734327,0.535820,0.000000,True
train_run_esm2_aft,0.568395,0.589888,0.548413,0.731560,0.665094,0.545615,0.538261,0.553172,0.663274,0.837248,0.588792,0.640893,0.544526,0.688302,0.436239,0.000000,True,0.441718,0.455696,0.428571,0.662829,0.545863,0.298507,0.277778,0.322581,0.531033,0.851732,0.541667,0.604651,0.490566,0.697010,0.349272,0.000000,True
train_run_esm2_aft_no_lddt_gated,0.564911,0.585052,0.546111,0.744293,0.663941,0.545616,0.545859,0.545374,0.692405,0.835623,0.581748,0.621577,0.546715,0.692524,0.439626,0.000000,True,0.459627,0.493333,0.430233,0.684954,0.519055,0.349206,0.366667,0.333333,0.542595,0.839769,0.530612,0.577778,0.490566,0.709678,0.322857,0.000000,True
train_run_esm2_aft_pair_gated,0.594512,0.651240,0.546875,0.722109,0.496953,0.575560,0.606090,0.547957,0.679991,0.736717,0.611111,0.693878,0.545985,0.699890,0.239806,0.000000,True,0.446043,0.584906,0.360465,0.677937,0.385207,0.290909,0.363636,0.242424,0.614213,0.736510,0.547619,0.741935,0.433962,0.676771,0.173228,0.000000,True
train_run_esm2_aft_plddt70,0.573523,0.593365,0.554965,0.661739,0.476744,0.523737,0.564356,0.488571,0.566971,0.839434,0.594771,0.605053,0.584833,0.702439,0.234087,0.000000,True,0.487805,0.540541,0.444444,0.731578,0.119137,0,0.000000,0.000000,-0.004252,0.329424,0.555556,0.588235,0.526316,0.763590,0.105179,0.000000,True
train_run_esm2_aft_single_gated,0.576890,0.612263,0.545382,0.722036,0.615699,0.594396,0.612110,0.577679,0.684605,0.811404,0.561833,0.612403,0.518978,0.673970,0.372498,0.000000,True,0.470588,0.529412,0.423529,0.692211,0.459821,0.385965,0.440000,0.343750,0.581494,0.793011,0.520833,0.581395,0.471698,0.689653,0.252946,0.000000,True
train_run_esm2_conv,0.566653,0.586993,0.547675,0.720640,0.697122,0.550435,0.551874,0.549003,0.653280,0.844413,0.580967,0.619984,0.546570,0.681034,0.482876,0.000000,True,0.460526,0.522388,0.411765,0.668970,0.547688,0.315789,0.360000,0.281250,0.528068,0.832717,0.547368,0.619048,0.490566,0.684651,0.355523,0.000000,True
train_run_esm2_only_homo,0.312500,0.476190,0.232558,0.541783,0.784429,0.039216,0.055556,0.030303,0.418276,0.928484,0.493506,0.791667,0.358491,0.610919,0.679515,0.000000,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
train_run_esm2_plus,0.566139,0.652442,0.500000,0.730344,0.731084,0.550910,0.636364,0.485690,0.653151,0.852193,0.578776,0.665728,0.511913,0.735123,0.544885,0.000000,True,0.513889,0.637931,0.430233,0.715344,0.604174,0.384615,0.526316,0.303030,0.618546,0.871301,0.586957,0.692308,0.509434,0.730091,0.421654,0.000000,True
train_run_esm2_plus_proj_gated,0.583096,0.600167,0.566970,0.760374,0.703724,0.562609,0.560659,0.564572,0.728848,0.863958,0.601068,0.637025,0.568953,0.704477,0.482170,0.000000,True,0.467836,0.465116,0.470588,0.666133,0.584958,0.328767,0.292683,0.375000,0.484920,0.868353,0.571429,0.622222,0.528302,0.703885,0.390891,0.000000,True
train_run_esmc_600m,0.568045,0.633525,0.514832,0.713288,0.749834,0.537750,0.609272,0.481255,0.628946,0.867793,0.592049,0.652211,0.542049,0.706027,0.578289,0.004442,True,0.477419,0.587302,0.402174,0.679155,0.636707,0.208333,0.333333,0.151515,0.561666,0.892688,0.598131,0.666667,0.542373,0.682120,0.481277,0.014184,True
train_run_prostt5,0.509476,0.587996,0.449456,0.718867,0.783048,0.477438,0.541254,0.427083,0.590920,0.853735,0.536132,0.628193,0.467606,0.703587,0.647160,0.000000,True,0.503067,0.585714,0.440860,0.695165,0.696861,0.346154,0.473684,0.272727,0.588834,0.857603,0.576577,0.627451,0.533333,0.715505,0.591358,0.000000,True
train_run_prostt5_plus,0.495466,0.574654,0.435459,0.696933,0.772408,0.485053,0.545553,0.436632,0.575353,0.826802,0.504291,0.600779,0.434507,0.685444,0.656405,0.000000,True,0.450000,0.537313,0.387097,0.708740,0.704615,0.357143,0.434783,0.303030,0.566312,0.841721,0.500000,0.590909,0.433333,0.701284,0.611999,0.000000,True
uni2026_run_esm2,0.501011,0.741029,0.378436,0.608859,0.699467,0.491152,0.761714,0.362420,0.587169,0.813799,0.509700,0.724324,0.393192,0.603024,0.522392,0.000000,True,0.477064,0.702703,0.361111,0.641566,0.603563,0.448980,0.814815,0.309859,0.605460,0.765045,0.500000,0.638298,0.410959,0.689442,0.416794,0.000000,True
